date,product,price,units_sold,competitor_price,is_holiday_season
2024-04-01,Candle A,17.04,37,16.78,0
2024-04-02,Candle A,17.04,50,18.84,0
2024-04-03,Candle A,17.04,46,18.02,0
2024-04-04,Candle A,17.04,44,18.39,0
2024-04-05,Candle A,17.04,42,16.2,0
2024-04-06,Candle A,17.04,47,16.4,0
2024-04-07,Candle A,17.04,49,17.39,0
2024-04-08,Candle A,17.04,48,16.19,0
2024-04-09,Candle A,17.04,46,18.65,0
2024-04-10,Candle A,17.04,57,17.81,0
2024-04-11,Candle A,17.04,42,18.64,0
2024-04-12,Candle A,17.04,55,17.35,0
2024-04-13,Candle A,17.04,48,15.73,0
2024-04-14,Candle A,17.04,44,16.24,0
2024-04-15,Candle A,21.57,42,16.7,0
2024-04-16,Candle A,21.57,9,22.02,0
2024-04-17,Candle A,21.57,14,23.02,0
2024-04-18,Candle A,21.57,12,21.48,0
2024-04-19,Candle A,21.57,6,20.36,0
2024-04-20,Candle A,21.57,12,21.71,0
2024-04-21,Candle A,21.57,8,22.74,0
2024-04-22,Candle A,21.57,14,23.26,0
2024-04-23,Candle A,21.57,2,19.6,0
2024-04-24,Candle A,21.57,12,22.08,0
2024-04-25,Candle A,21.57,10,20.66,0
2024-04-26,Candle A,21.57,6,20.64,0
2024-04-27,Candle A,21.57,10,21.46,0
2024-04-28,Candle A,21.57,13,22.68,0
2024-04-29,Candle A,21.57,11,20.08,0
2024-04-30,Candle A,21.57,23,20.07,0
2024-05-01,Candle A,21.57,17,22.99,0
2024-05-02,Candle A,21.57,7,19.91,0
2024-05-03,Candle A,21.57,11,20.83,0
2024-05-04,Candle A,21.57,7,20.98,0
2024-05-05,Candle A,21.57,6,21.01,0
2024-05-06,Candle A,18.89,10,20.33,0
2024-05-07,Candle A,18.89,35,19.75,0
2024-05-08,Candle A,18.89,35,18.41,0
2024-05-09,Candle A,18.89,34,18.38,0
2024-05-10,Candle A,18.89,33,19.31,0
2024-05-11,Candle A,18.89,28,20.09,0
2024-05-12,Candle A,18.89,28,19.38,0
2024-05-13,Candle A,18.89,34,18.87,0
2024-05-14,Candle A,18.89,26,19.7,0
2024-05-15,Candle A,18.89,36,18.73,0
2024-05-16,Candle A,18.89,25,17.87,0
2024-05-17,Candle A,18.89,31,17.18,0
2024-05-18,Candle A,18.89,23,18.59,0
2024-05-19,Candle A,18.89,37,20.64,0
2024-05-20,Candle A,18.89,39,18.39,0
2024-05-21,Candle A,18.89,27,17.94,0
2024-05-22,Candle A,18.89,39,18.75,0
2024-05-23,Candle A,18.89,39,19.54,0
2024-05-24,Candle A,18.89,34,20.44,0
2024-05-25,Candle A,18.89,25,19.82,0
2024-05-26,Candle A,18.89,38,19.15,0
2024-05-27,Candle A,16.0,36,16.91,0
2024-05-28,Candle A,16.0,58,17.1,0
2024-05-29,Candle A,16.0,56,14.4,0
2024-05-30,Candle A,16.0,56,17.52,0
2024-05-31,Candle A,16.0,56,17.37,0
2024-06-01,Candle A,16.0,60,14.49,0
2024-06-02,Candle A,16.0,49,17.34,0
2024-06-03,Candle A,16.0,48,17.81,0
2024-06-04,Candle A,16.0,51,14.15,0
2024-06-05,Candle A,16.0,48,17.07,0
2024-06-06,Candle A,16.0,55,14.43,0
2024-06-07,Candle A,16.0,57,17.0,0
2024-06-08,Candle A,16.0,55,15.3,0
2024-06-09,Candle A,16.0,57,16.26,0
2024-06-10,Candle A,16.0,52,14.72,0
2024-06-11,Candle A,16.0,49,15.0,0
2024-06-12,Candle A,16.0,50,15.57,0
2024-06-13,Candle A,16.0,52,15.47,0
2024-06-14,Candle A,16.0,58,15.67,0
2024-06-15,Candle A,16.0,42,14.33,0
2024-06-16,Candle A,16.0,55,15.65,0
2024-06-17,Candle A,20.29,60,16.99,0
2024-06-18,Candle A,20.29,28,20.99,0
2024-06-19,Candle A,20.29,14,20.36,0
2024-06-20,Candle A,20.29,22,21.88,0
2024-06-21,Candle A,20.29,28,18.89,0
2024-06-22,Candle A,20.29,26,21.96,0
2024-06-23,Candle A,20.29,14,20.36,0
2024-06-24,Candle A,20.29,24,19.03,0
2024-06-25,Candle A,20.29,23,19.36,0
2024-06-26,Candle A,20.29,27,19.55,0
2024-06-27,Candle A,20.29,17,19.22,0
2024-06-28,Candle A,20.29,10,19.47,0
2024-01-01,Mug B,13.09,51,12.82,0
2024-01-02,Mug B,13.09,56,12.16,0
2024-01-03,Mug B,13.09,56,11.96,0
2024-01-04,Mug B,13.09,52,12.62,0
2024-01-05,Mug B,13.09,48,11.78,0
2024-01-06,Mug B,13.09,54,14.19,0
2024-01-07,Mug B,13.09,56,11.66,0
2024-01-08,Mug B,13.09,50,13.49,0
2024-01-09,Mug B,13.09,55,12.96,0
2024-01-10,Mug B,13.09,43,13.32,0
2024-01-11,Mug B,13.09,49,13.02,0
2024-01-12,Mug B,13.09,41,12.69,0
2024-01-13,Mug B,13.09,56,14.02,0
2024-01-14,Mug B,13.09,49,12.01,0
2024-01-15,Mug B,13.09,49,12.03,0
2024-01-16,Mug B,13.09,43,14.92,0
2024-01-17,Mug B,13.09,51,14.51,0
2024-01-18,Mug B,13.09,54,12.12,0
2024-01-19,Mug B,13.09,48,11.84,0
2024-01-20,Mug B,13.09,41,14.69,0
2024-01-21,Mug B,13.09,54,12.11,0
2024-01-22,Mug B,14.1,48,12.78,0
2024-01-23,Mug B,14.1,51,12.44,0
2024-01-24,Mug B,14.1,48,13.27,0
2024-01-25,Mug B,14.1,36,13.53,0
2024-01-26,Mug B,14.1,39,12.13,0
2024-01-27,Mug B,14.1,37,13.44,0
2024-01-28,Mug B,14.1,45,12.94,0
2024-01-29,Mug B,14.1,47,14.44,0
2024-01-30,Mug B,14.1,41,14.28,0
2024-01-31,Mug B,14.1,42,12.58,0
2024-02-01,Mug B,14.1,50,12.55,0
2024-02-02,Mug B,14.1,45,15.65,0
2024-02-03,Mug B,14.1,41,15.87,0
2024-02-04,Mug B,14.1,44,13.6,0
2024-02-05,Mug B,14.1,34,13.28,0
2024-02-06,Mug B,14.1,38,14.8,0
2024-02-07,Mug B,14.1,35,13.16,0
2024-02-08,Mug B,14.1,50,15.12,0
2024-02-09,Mug B,14.1,41,14.24,0
2024-02-10,Mug B,14.1,38,12.55,0
2024-02-11,Mug B,14.1,43,14.97,0
2024-02-12,Mug B,13.52,40,14.81,0
2024-02-13,Mug B,13.52,46,14.04,0
2024-02-14,Mug B,13.52,53,12.24,0
2024-02-15,Mug B,13.52,43,12.01,0
2024-02-16,Mug B,13.52,50,15.25,0
2024-02-17,Mug B,13.52,51,14.4,0
2024-02-18,Mug B,13.52,41,13.91,0
2024-02-19,Mug B,13.52,45,13.35,0
2024-02-20,Mug B,13.52,48,12.77,0
2024-02-21,Mug B,13.52,49,14.38,0
2024-02-22,Mug B,13.52,39,14.54,0
2024-02-23,Mug B,13.52,45,12.96,0
2024-02-24,Mug B,13.52,40,12.58,0
2024-02-25,Mug B,13.52,54,11.69,0
2024-02-26,Mug B,13.52,47,13.54,0
2024-02-27,Mug B,13.52,56,12.94,0
2024-02-28,Mug B,13.52,42,12.85,0
2024-02-29,Mug B,13.52,51,14.61,0
2024-03-01,Mug B,13.52,49,12.93,0
2024-03-02,Mug B,13.52,45,12.6,0
2024-03-03,Mug B,13.52,54,11.92,0
2024-03-04,Mug B,10.29,53,14.43,0
2024-03-05,Mug B,10.29,66,9.05,0
2024-03-06,Mug B,10.29,77,11.55,0
2024-03-07,Mug B,10.29,71,11.28,0
2024-03-08,Mug B,10.29,72,9.88,0
2024-03-09,Mug B,10.29,67,9.06,0
2024-03-10,Mug B,10.29,72,9.1,0
2024-03-11,Mug B,10.29,73,9.29,0
2024-03-12,Mug B,10.29,72,11.5,0
2024-03-13,Mug B,10.29,78,11.85,0
2024-03-14,Mug B,10.29,72,10.5,0
2024-03-15,Mug B,10.29,64,10.62,0
2024-03-16,Mug B,10.29,63,11.04,0
2024-03-17,Mug B,10.29,77,9.49,0
2024-03-18,Mug B,10.29,69,10.7,0
2024-03-19,Mug B,10.29,82,11.2,0
2024-03-20,Mug B,10.29,73,10.94,0
2024-03-21,Mug B,10.29,68,10.26,0
2024-03-22,Mug B,10.29,72,9.06,0
2024-03-23,Mug B,10.29,79,10.41,0
2024-03-24,Mug B,10.29,75,10.87,0
2024-03-25,Mug B,15.24,62,10.07,0
2024-03-26,Mug B,15.24,28,13.78,0
2024-03-27,Mug B,15.24,32,16.41,0
2024-03-28,Mug B,15.24,32,14.68,0
2024-03-29,Mug B,15.24,39,14.17,0
2024-03-30,Mug B,15.24,37,16.96,0
2024-03-31,Mug B,15.24,39,14.53,0
2024-04-01,Mug B,15.24,28,13.78,0
2024-04-02,Mug B,15.24,24,16.67,0
2024-04-03,Mug B,15.24,27,16.1,0
2024-04-04,Mug B,15.24,29,16.2,0
2024-04-05,Mug B,15.24,41,16.97,0
2024-04-06,Mug B,15.24,26,16.69,0
2024-04-07,Mug B,15.24,37,15.18,0
2024-04-08,Mug B,15.24,36,13.68,0
2024-04-09,Mug B,15.24,34,14.04,0
2024-04-10,Mug B,15.24,26,13.88,0
2024-04-11,Mug B,15.24,34,15.39,0
2024-04-12,Mug B,15.24,31,14.93,0
2024-04-13,Mug B,15.24,30,15.1,0
2024-04-14,Mug B,15.24,31,16.27,0
2024-04-15,Mug B,14.04,35,16.84,0
2024-04-16,Mug B,14.04,39,13.51,0
2024-04-17,Mug B,14.04,48,14.43,0
2024-04-18,Mug B,14.04,47,12.94,0
2024-04-19,Mug B,14.04,43,15.17,0
2024-04-20,Mug B,14.04,40,12.61,0
2024-04-21,Mug B,14.04,44,12.88,0
2024-04-22,Mug B,14.04,41,12.72,0
2024-04-23,Mug B,14.04,45,12.15,0
2024-04-24,Mug B,14.04,46,12.48,0
2024-04-25,Mug B,14.04,48,12.28,0
2024-04-26,Mug B,14.04,38,12.13,0
2024-04-27,Mug B,14.04,45,14.85,0
2024-04-28,Mug B,14.04,39,12.24,0
2024-04-29,Mug B,14.04,46,12.15,0
2024-04-30,Mug B,14.04,44,15.9,0
2024-05-01,Mug B,14.04,45,13.94,0
2024-05-02,Mug B,14.04,40,12.7,0
2024-05-03,Mug B,14.04,40,12.54,0
2024-05-04,Mug B,14.04,43,12.25,0
2024-05-05,Mug B,14.04,39,15.19,0
2024-05-06,Mug B,10.75,47,13.9,0
2024-05-07,Mug B,10.75,68,9.81,0
2024-05-08,Mug B,10.75,66,12.01,0
2024-05-09,Mug B,10.75,66,9.12,0
2024-05-10,Mug B,10.75,76,11.48,0
2024-05-11,Mug B,10.75,68,8.76,0
2024-05-12,Mug B,10.75,72,8.87,0
2024-05-13,Mug B,10.75,71,8.9,0
2024-05-14,Mug B,10.75,63,8.97,0
2024-05-15,Mug B,10.75,61,9.55,0
2024-05-16,Mug B,10.75,61,12.65,0
2024-05-17,Mug B,10.75,71,12.42,0
2024-05-18,Mug B,10.75,74,12.51,0
2024-05-19,Mug B,10.75,70,11.18,0
2024-05-20,Mug B,10.75,73,12.54,0
2024-05-21,Mug B,10.75,72,12.15,0
2024-05-22,Mug B,10.75,66,9.21,0
2024-05-23,Mug B,10.75,72,11.47,0
2024-05-24,Mug B,10.75,73,12.46,0
2024-05-25,Mug B,10.75,77,11.69,0
2024-05-26,Mug B,10.75,59,12.09,0
2024-05-27,Mug B,11.9,66,10.2,0
2024-05-28,Mug B,11.9,61,10.82,0
2024-05-29,Mug B,11.9,55,10.98,0
2024-05-30,Mug B,11.9,59,10.58,0
2024-05-31,Mug B,11.9,54,12.74,0
2024-06-01,Mug B,11.9,57,11.45,0
2024-06-02,Mug B,11.9,61,12.74,0
2024-06-03,Mug B,11.9,52,9.99,0
2024-06-04,Mug B,11.9,62,12.61,0
2024-06-05,Mug B,11.9,61,10.29,0
2024-06-06,Mug B,11.9,70,12.47,0
2024-06-07,Mug B,11.9,64,13.41,0
2024-06-08,Mug B,11.9,56,13.49,0
2024-06-09,Mug B,11.9,58,12.83,0
2024-06-10,Mug B,11.9,64,10.19,0
2024-06-11,Mug B,11.9,63,11.5,0
2024-06-12,Mug B,11.9,60,12.18,0
2024-06-13,Mug B,11.9,67,10.34,0
2024-06-14,Mug B,11.9,64,10.86,0
2024-06-15,Mug B,11.9,64,10.1,0
2024-06-16,Mug B,11.9,66,12.24,0
2024-06-17,Mug B,10.54,62,9.95,0
2024-06-18,Mug B,10.54,84,10.79,0
2024-06-19,Mug B,10.54,73,10.22,0
2024-06-20,Mug B,10.54,65,11.69,0
2024-06-21,Mug B,10.54,72,10.68,0
2024-06-22,Mug B,10.54,74,8.86,0
2024-06-23,Mug B,10.54,72,11.84,0
2024-06-24,Mug B,10.54,72,12.41,0
2024-06-25,Mug B,10.54,73,9.34,0
2024-06-26,Mug B,10.54,70,10.4,0
2024-06-27,Mug B,10.54,74,9.43,0
2024-06-28,Mug B,10.54,65,11.11,0
