customer_id,tenure_months,monthly_spend,support_tickets,num_products,contract_type,churned
105,55,61.74,4,1,monthly,0
106,37,10.97,2,2,annual,0
107,41,68.92,6,1,annual,0
108,71,82.46,8,2,monthly,1
109,53,20.19,4,4,monthly,0
110,71,72.7,2,2,annual,0
111,37,47.88,4,4,monthly,1
112,72,99.15,6,1,monthly,0
113,10,74.22,7,5,monthly,1
114,43,112.47,7,4,monthly,0
115,32,79.26,1,3,monthly,0
116,26,72.34,0,4,annual,0
117,68,64.93,0,4,annual,0
118,47,79.22,2,5,monthly,1
119,32,33.05,6,3,monthly,1
120,55,83.89,7,5,annual,1
121,51,111.95,8,4,annual,0
122,14,35.65,3,2,monthly,0
123,14,97.32,7,1,monthly,1
124,17,45.63,3,5,monthly,0
125,39,94.11,8,4,monthly,1
126,39,51.8,8,5,monthly,1
127,29,60.3,8,3,annual,0
128,41,58.84,3,4,monthly,0
129,4,97.86,4,1,monthly,1
130,54,50.44,1,3,monthly,0
131,48,60.96,5,4,annual,0
132,26,66.52,0,3,monthly,0
133,26,42.49,3,4,monthly,0
134,38,102.86,1,5,annual,0
135,29,10,0,5,monthly,0
136,7,65.15,3,1,monthly,0
137,8,70.99,5,1,monthly,0
138,43,85.01,3,2,annual,0
139,49,98.48,7,2,monthly,1
140,36,10,1,3,annual,0
141,16,20.91,6,3,annual,0
142,56,44.2,1,1,annual,0
143,70,74.32,5,4,monthly,0
144,32,52.07,6,1,annual,1
145,9,62.94,3,1,annual,0
146,43,51.55,0,3,annual,0
147,39,101.96,1,1,monthly,1
148,60,60.99,6,3,annual,0
149,17,74.3,4,2,monthly,1
150,41,53.06,7,3,monthly,0
151,51,60.34,1,1,annual,0
152,42,41.16,2,4,monthly,0
153,34,47.89,6,4,annual,1
154,18,47.95,6,4,monthly,0
155,16,63.88,4,5,annual,0
156,34,39.51,3,4,monthly,1
157,31,89.63,3,3,monthly,0
158,32,102.62,8,5,monthly,0
159,13,16.23,1,1,annual,0
160,30,10,7,3,monthly,0
161,30,71.87,3,1,annual,0
162,23,71.04,7,5,annual,0
163,1,86.5,5,2,monthly,1
164,19,80.76,0,2,annual,0
165,27,78.28,6,3,monthly,0
166,10,17.56,3,1,annual,0
167,9,22.65,8,2,monthly,0
168,51,84.31,4,4,annual,0
169,54,80.71,5,4,annual,1
170,47,53.73,3,4,annual,0
171,1,46.64,1,1,annual,0
172,47,65.86,7,2,monthly,1
173,71,88.33,6,1,annual,0
174,22,95.36,2,3,annual,0
175,22,70.71,7,2,annual,1
176,6,54.59,7,3,monthly,0
177,50,93.8,2,2,annual,0
178,26,80.36,7,2,monthly,1
179,67,73.08,2,2,monthly,1
180,72,79.63,0,3,monthly,0
181,59,26.61,4,4,annual,0
182,55,49.14,6,3,annual,0
183,23,94.35,7,4,monthly,1
184,59,65.08,2,4,annual,0
185,17,44.97,7,5,monthly,1
186,17,78.5,1,3,monthly,1
187,65,88.71,2,1,monthly,0
188,15,37.69,3,2,annual,0
189,22,44.4,3,1,annual,0
190,33,23.22,2,3,annual,0
191,59,78.31,7,2,annual,0
192,31,83.17,5,3,monthly,1
193,52,91.06,5,4,monthly,0
194,34,109.79,1,5,monthly,0
195,47,86.84,8,5,monthly,1
196,69,54.2,6,3,annual,0
197,48,39.11,1,4,monthly,1
198,7,48.96,4,5,annual,0
199,41,55.59,3,2,annual,0
200,56,18.78,6,5,annual,0
201,17,25.67,0,1,monthly,1
202,46,62.51,4,1,annual,0
203,53,31.15,3,3,annual,0
204,2,43.28,3,2,annual,1
205,19,90.13,6,3,monthly,1
206,72,28.43,5,5,annual,0
207,67,58.05,0,1,monthly,0
208,52,41.2,2,2,monthly,1
209,14,91.54,3,2,annual,0
210,65,62.45,6,5,monthly,0
211,9,57.55,7,5,monthly,1
212,56,67.49,7,1,annual,1
213,14,57.42,1,3,annual,0
214,35,95.84,8,4,annual,0
215,28,85.57,2,3,monthly,0
216,26,75.21,2,3,monthly,0
217,43,40.35,8,4,annual,0
218,1,45.49,0,4,monthly,1
219,40,66.08,1,5,monthly,1
220,4,35.83,1,1,monthly,1
221,19,58.09,2,1,monthly,0
222,9,54.04,5,2,monthly,0
223,50,73.27,1,1,monthly,0
224,12,70.58,4,4,monthly,1
225,27,53.76,4,1,annual,1
226,37,81.77,0,3,annual,0
227,65,39.64,0,4,monthly,0
228,13,63.08,5,4,monthly,0
229,28,49.59,4,2,annual,1
230,26,14.27,4,1,monthly,1
231,13,15.43,2,4,annual,0
232,66,62.39,4,5,monthly,1
233,28,76.8,2,1,monthly,0
234,72,53.14,1,3,annual,0
235,51,92.16,6,1,annual,1
236,34,34.02,6,5,monthly,1
237,30,72.22,0,3,annual,0
238,58,55.51,8,3,monthly,1
239,33,48.59,7,2,monthly,1
240,20,53.81,2,2,annual,0
241,45,71.84,3,3,monthly,1
242,14,78.89,3,4,monthly,0
243,39,57.2,3,1,monthly,1
244,50,33.44,7,1,monthly,1
245,56,49.75,4,4,monthly,1
246,52,32.38,0,2,annual,0
247,54,81.06,3,2,monthly,0
248,41,29.43,4,1,annual,1
249,52,51.91,4,4,annual,0
250,53,25.71,8,2,annual,0
251,50,86.88,1,1,annual,0
252,21,12.44,3,5,annual,0
253,59,21.57,8,1,annual,0
254,53,49.87,7,2,monthly,1
255,16,55.48,0,3,annual,0
256,8,25.8,0,1,annual,0
257,46,49.47,4,4,monthly,0
258,51,54.19,7,2,monthly,1
259,9,72.97,7,5,monthly,0
260,19,27.0,5,4,annual,0
261,71,34.35,7,3,monthly,1
262,49,24.88,4,4,monthly,1
263,36,37.13,5,4,annual,0
264,11,88.37,5,2,annual,0
265,8,87.72,5,2,annual,0
266,2,76.46,0,2,monthly,0
267,33,34.44,3,2,annual,0
268,20,39.34,3,4,monthly,0
269,12,34.04,4,2,annual,0
270,68,13.84,1,4,monthly,0
271,34,19.1,7,4,monthly,1
272,19,82.81,7,2,annual,1
273,1,71.74,7,3,annual,1
274,54,78.59,1,2,annual,0
275,4,67.6,5,1,annual,1
276,19,60.99,0,2,annual,0
277,44,90.4,5,4,monthly,1
278,44,80.51,6,3,monthly,0
279,38,42.1,5,5,annual,0
280,45,83.03,3,4,monthly,0
281,41,57.01,1,1,annual,0
282,52,47.29,8,5,monthly,1
283,14,76.21,7,5,monthly,0
284,70,60.63,6,5,monthly,0
285,11,68.65,7,2,monthly,0
286,5,96.05,6,1,monthly,1
287,18,67.31,4,3,monthly,1
288,41,28.72,0,4,monthly,0
289,67,72.19,6,5,annual,0
290,2,63.08,6,5,monthly,1
291,53,50.08,7,2,monthly,0
292,55,56.86,0,1,monthly,0
293,12,62.52,7,1,annual,0
294,32,72.46,7,2,monthly,1
295,19,58.67,8,4,annual,0
296,33,49.59,0,1,monthly,1
297,11,43.42,2,4,monthly,0
298,57,73.9,7,2,monthly,0
299,15,36.51,6,4,annual,0
300,58,87.24,4,5,annual,0
301,8,33.85,5,5,monthly,0
302,40,34.86,6,2,annual,0
303,49,17.31,7,3,monthly,1
304,35,28.25,6,2,monthly,1
305,19,79.01,2,3,annual,0
306,11,13.5,8,5,annual,0
307,26,69.39,3,3,monthly,0
308,60,21.1,3,3,monthly,0
309,59,30.01,5,1,monthly,1
310,67,52.19,4,5,annual,0
311,26,66.1,2,3,annual,0
312,46,75.16,6,5,monthly,1
313,64,51.68,7,1,monthly,1
314,4,68.42,5,3,monthly,1
315,27,110.04,7,5,monthly,1
316,36,56.98,6,1,annual,0
317,17,59.83,3,2,annual,0
318,7,66.94,0,5,annual,0
319,59,11.84,1,5,annual,0
320,12,63.99,4,3,monthly,0
321,65,38.65,2,3,monthly,0
322,29,76.97,2,1,annual,0
323,8,104.39,0,3,annual,0
324,19,28.91,5,1,monthly,1
325,39,37.21,1,4,annual,0
326,50,45.58,1,3,annual,0
327,57,61.01,0,4,monthly,0
328,21,73.86,3,1,annual,0
329,18,71.14,6,1,monthly,1
330,44,10,5,2,annual,1
331,47,71.04,0,2,annual,0
332,19,73.83,7,2,annual,0
333,32,71.1,4,3,monthly,1
334,14,76.49,5,4,annual,1
335,66,109.73,3,5,annual,0
336,16,78.56,4,2,annual,0
337,34,116.91,1,4,annual,0
338,21,59.32,0,3,monthly,0
339,3,32.18,8,2,annual,1
340,68,70.59,4,2,annual,0
341,53,66.45,2,2,monthly,0
342,26,91.9,1,1,annual,0
343,23,69.39,3,5,annual,0
344,9,93.12,8,4,monthly,0
345,45,35.5,7,1,monthly,1
346,62,101.3,2,3,monthly,1
347,47,97.89,0,3,annual,0
348,10,68.89,1,3,monthly,0
349,42,69.16,0,3,monthly,0
350,64,10.52,7,5,monthly,1
351,69,72.41,1,2,monthly,1
352,40,73.96,4,5,monthly,1
353,25,56.58,7,5,monthly,0
354,14,107.52,5,1,monthly,1
355,16,27.61,4,1,monthly,1
356,18,67.27,8,5,monthly,0
357,19,46.4,6,2,monthly,0
358,50,35.71,6,5,monthly,1
359,7,63.82,3,3,annual,0
360,42,37.59,6,5,monthly,1
361,19,116.31,3,4,monthly,0
362,68,44.73,2,1,annual,0
363,65,51.31,6,4,annual,0
364,6,44.39,0,5,annual,0
365,35,28.63,0,5,monthly,1
366,67,27.32,0,4,monthly,0
367,37,77.52,2,1,monthly,0
368,66,75.06,4,1,annual,0
369,19,32.17,4,4,annual,0
370,12,71.02,8,3,annual,0
371,29,50.18,5,4,annual,0
372,61,46.42,4,1,monthly,1
373,25,35.5,6,1,annual,1
374,31,58.08,5,5,annual,0
375,37,72.6,0,1,monthly,0
376,45,47.93,7,1,annual,0
377,46,58.9,3,2,annual,0
378,46,48.03,2,2,annual,0
379,67,100.72,7,3,monthly,1
380,14,87.69,0,4,monthly,0
381,20,21.94,1,4,annual,0
382,37,81.58,5,3,annual,0
383,72,30.17,0,4,annual,0
384,24,39.61,8,3,monthly,1
385,49,50.65,5,3,monthly,0
386,27,54.74,6,1,monthly,1
387,64,50.45,4,5,annual,0
388,67,89.49,6,4,annual,0
389,45,56.54,1,5,monthly,1
390,48,61.05,8,4,monthly,0
391,54,33.17,5,5,monthly,1
392,41,62.25,5,1,annual,0
393,15,48.35,5,5,annual,0
394,68,42.65,4,5,monthly,0
395,25,52.5,1,3,monthly,0
396,2,64.61,0,3,monthly,0
397,51,78.17,0,2,monthly,0
398,71,32.2,4,5,monthly,0
399,53,48.75,8,5,monthly,1
400,10,51.64,2,5,annual,0
401,56,63.12,0,5,annual,0
402,31,51.61,5,3,monthly,1
403,13,98.51,1,3,monthly,0
404,50,13.04,0,1,monthly,0
405,6,27.69,3,2,monthly,1
406,23,72.88,5,1,annual,0
407,33,88.33,1,2,annual,0
408,29,52.73,6,3,annual,0
409,63,109.83,1,2,monthly,0
410,24,67.07,0,3,annual,0
411,15,34.22,5,4,monthly,0
412,55,103.59,5,5,monthly,1
413,60,56.15,0,3,monthly,0
414,20,77.99,3,2,monthly,1
415,70,66.66,7,4,monthly,1
416,46,48.75,3,4,annual,0
417,27,51.69,3,2,annual,0
418,34,87.18,7,5,annual,0
419,52,46.56,1,5,monthly,0
420,35,49.13,6,1,monthly,1
421,50,50.59,3,3,monthly,0
422,14,22.66,1,5,annual,0
423,39,74.0,1,2,annual,0
424,52,97.28,4,3,annual,0
425,60,68.1,2,3,monthly,1
426,45,10,6,1,annual,1
427,52,38.94,2,3,monthly,0
428,29,88.2,0,4,monthly,0
429,56,66.81,6,1,annual,0
430,23,80.12,3,5,annual,0
431,33,93.25,5,1,monthly,0
432,37,43.24,0,5,monthly,0
433,15,81.3,5,1,annual,0
434,51,65.06,3,3,monthly,0
435,55,38.67,8,4,monthly,0
436,27,68.05,6,5,monthly,1
437,25,97.48,8,3,monthly,0
438,31,70.56,8,3,monthly,0
439,22,43.86,3,3,monthly,1
440,63,80.06,7,2,monthly,1
441,57,83.98,4,2,monthly,0
442,31,86.56,5,1,annual,0
443,22,53.58,7,4,monthly,1
444,38,47.0,0,3,annual,0
445,8,76.88,1,3,annual,0
446,21,47.04,5,4,annual,0
447,38,64.75,0,4,annual,0
448,43,68.4,4,1,annual,0
449,63,71.55,0,3,monthly,0
450,33,89.08,3,1,monthly,0
451,4,67.32,4,3,monthly,0
452,68,12.74,2,1,annual,0
453,42,33.79,5,3,monthly,1
454,71,84.81,5,3,monthly,1
455,14,27.89,6,1,monthly,1
456,64,45.65,2,3,monthly,1
457,30,73.97,6,1,monthly,0
458,62,83.17,3,2,annual,1
459,66,41.79,0,5,annual,0
460,9,69.21,7,1,monthly,0
461,22,58.34,5,5,monthly,1
462,70,61.58,5,5,annual,0
463,69,102.06,6,5,monthly,0
464,8,32.83,5,5,annual,0
465,54,87.37,2,3,annual,0
466,4,51.64,3,2,annual,0
467,19,47.14,6,3,monthly,0
468,51,39.6,4,1,monthly,1
469,26,48.35,4,1,monthly,1
470,33,56.37,7,2,annual,0
471,15,55.05,1,4,monthly,0
472,18,10,8,5,monthly,1
473,66,97.72,6,5,monthly,0
474,25,88.17,7,1,monthly,1
475,8,53.59,0,1,monthly,0
476,16,64.4,2,4,monthly,0
477,26,10,5,2,annual,0
478,44,38.48,0,3,monthly,0
479,66,55.13,7,1,annual,1
480,71,10,5,5,monthly,1
481,32,59.53,7,1,annual,1
482,3,76.37,7,1,monthly,1
483,24,93.92,6,2,annual,0
484,35,106.83,7,1,monthly,1
485,20,31.34,0,1,monthly,1
486,51,62.32,7,2,annual,0
487,67,79.85,3,3,monthly,0
488,6,70.25,3,2,annual,0
489,43,38.08,5,3,monthly,1
490,62,48.47,5,2,monthly,1
491,6,32.59,2,3,annual,0
492,65,30.48,4,3,monthly,0
493,5,106.46,1,2,annual,0
494,13,32.55,5,3,monthly,0
495,19,51.1,5,3,monthly,1
496,71,40.67,6,3,monthly,0
497,42,92.52,8,3,monthly,0
498,45,30.84,2,2,monthly,1
499,59,39.24,4,2,monthly,1
500,40,74.11,4,5,annual,1
